                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.50516,                 2.4984,                0.96895,                0.89175,                 0.8903,                0.95749,                0.87067,                0.39661,                0.75182,                0.87427,              0.0033117,              0.0033117,              0.0033117
                      2,                0.43473,                0.97193,                0.89685,                0.95661,                0.92708,                 0.9809,                0.89345,                0.39221,                  0.491,                0.86212,              0.0065792,              0.0065792,              0.0065792
                      3,                0.48122,                0.79762,                0.91234,                0.87416,                0.85782,                0.93049,                0.78143,                0.57577,                0.78021,                0.95465,              0.0097808,              0.0097808,              0.0097808
                      4,                0.48677,                0.58733,                0.92288,                0.95939,                0.94152,                0.97865,                0.85731,                0.47494,                0.59568,                0.93258,               0.009703,               0.009703,               0.009703
                      5,                0.43294,                0.44909,                0.89886,                0.95476,                0.92199,                0.97892,                0.90001,                0.37966,                0.44307,                 0.8812,               0.009604,               0.009604,               0.009604
                      6,                0.39761,                0.38121,                0.88424,                0.97804,                0.96986,                0.98877,                0.92793,                0.33958,                0.34562,                0.85407,               0.009505,               0.009505,               0.009505
                      7,                0.36646,                0.34241,                0.87517,                0.98111,                0.97219,                0.99102,                0.93916,                 0.3153,                0.29655,                0.85306,               0.009406,               0.009406,               0.009406
                      8,                 0.3508,                0.31896,                0.86688,                0.98935,                0.97176,                0.99141,                0.95095,                0.27962,                 0.2569,                0.83646,               0.009307,               0.009307,               0.009307
                      9,                0.33483,                0.30173,                0.86255,                0.98874,                0.97577,                0.99207,                0.95114,                0.27414,                0.25469,                0.84208,               0.009208,               0.009208,               0.009208
                     10,                0.32324,                0.28895,                0.85893,                0.98706,                0.97288,                0.99062,                0.95228,                0.26769,                0.24862,                0.83273,               0.009109,               0.009109,               0.009109
                     11,                0.31086,                 0.2728,                0.85121,                0.98786,                0.97743,                0.99126,                0.95274,                0.25545,                0.26099,                0.82531,                0.00901,                0.00901,                0.00901
                     12,                 0.3013,                0.26557,                0.85049,                0.99406,                0.97431,                0.99139,                0.95821,                0.24374,                0.23042,                0.81944,               0.008911,               0.008911,               0.008911
                     13,                 0.2974,                0.25856,                0.84666,                0.99188,                0.97788,                0.99397,                0.96198,                0.24773,                0.22105,                0.83063,               0.008812,               0.008812,               0.008812
                     14,                0.28752,                0.25078,                0.84426,                0.99258,                0.97666,                0.99319,                0.96058,                0.23556,                0.21853,                0.82265,               0.008713,               0.008713,               0.008713
                     15,                 0.2807,                0.24307,                0.84283,                0.99272,                 0.9796,                0.99238,                 0.9671,                0.22212,                0.20484,                0.81872,               0.008614,               0.008614,               0.008614
                     16,                0.27581,                0.23977,                0.84075,                0.99407,                0.98009,                0.99305,                0.96819,                0.21795,                0.19794,                0.81157,               0.008515,               0.008515,               0.008515
                     17,                0.26956,                0.23441,                0.83753,                 0.9953,                0.98059,                0.99272,                0.96407,                0.22809,                0.20724,                0.82065,               0.008416,               0.008416,               0.008416
                     18,                0.26701,                 0.2305,                0.83685,                0.99014,                0.97935,                0.99369,                0.96674,                0.22536,                0.20829,                0.81715,               0.008317,               0.008317,               0.008317
                     19,                0.26454,                0.22779,                0.83834,                0.99459,                0.98075,                0.99341,                0.96805,                0.22212,                0.19938,                0.81909,               0.008218,               0.008218,               0.008218
                     20,                0.25848,                0.22318,                 0.8337,                0.99466,                0.98183,                0.99385,                0.97208,                0.21243,                0.18445,                0.81168,               0.008119,               0.008119,               0.008119
                     21,                0.25131,                0.21794,                0.83072,                0.99244,                0.98554,                0.99401,                   0.97,                0.20352,                0.18202,                0.80787,                0.00802,                0.00802,                0.00802
                     22,                0.24871,                 0.2155,                0.82943,                0.99485,                0.98221,                0.99356,                0.97304,                0.20782,                0.18746,                0.81201,               0.007921,               0.007921,               0.007921
                     23,                0.24598,                0.21338,                0.82805,                0.99327,                0.98391,                0.99438,                0.97376,                 0.1928,                0.17424,                0.80549,               0.007822,               0.007822,               0.007822
                     24,                 0.2437,                0.20772,                0.82803,                0.99629,                0.98164,                0.99372,                0.97603,                0.20077,                0.17364,                 0.8068,               0.007723,               0.007723,               0.007723
                     25,                0.23932,                0.20573,                0.82657,                0.99239,                0.98604,                0.99443,                0.97612,                0.19166,                0.17076,                0.80619,               0.007624,               0.007624,               0.007624
                     26,                  0.234,                0.20195,                0.82285,                0.99051,                0.98859,                0.99397,                0.97091,                 0.1935,                0.17656,                0.80783,               0.007525,               0.007525,               0.007525
                     27,                0.23471,                0.20111,                0.82304,                0.99368,                0.98674,                 0.9943,                0.97645,                0.18605,                0.16548,                0.80459,               0.007426,               0.007426,               0.007426
                     28,                0.23208,                 0.2005,                0.82306,                0.99612,                 0.9835,                0.99448,                0.97767,                 0.1867,                0.16298,                0.79987,               0.007327,               0.007327,               0.007327
                     29,                0.23091,                0.19828,                0.82173,                 0.9943,                 0.9846,                0.99424,                0.97837,                0.18348,                0.16293,                0.80397,               0.007228,               0.007228,               0.007228
                     30,                0.22413,                0.19324,                0.81818,                0.99646,                0.98409,                0.99323,                0.97799,                0.17515,                0.15858,                0.79604,               0.007129,               0.007129,               0.007129
                     31,                0.22163,                0.19244,                0.81881,                 0.9948,                0.98886,                0.99404,                0.97936,                0.17193,                0.15397,                0.79624,                0.00703,                0.00703,                0.00703
